source,excerpt,place,agent,excerptStarts,excerptEnds,sourceSize,placeInSource,agentInSource,placeInExcerpt,agentInExcerpt,placeDistanceFromExcerpt,agentDistanceFromExcerpt
reminiscencesofm02kellrich,1435784346015,"http://dbpedia.org/resource/Haymarket,_London","",31914,33452,520572,5,0,0,0,-995126,-1
reminiscencesofm02kellrich,1437329660899,"http://dbpedia.org/resource/Dublin","",329215,329512,520572,50,0,1,0,0,-1
memoriesofmusici00ganzuoft,1436458374558,"http://dbpedia.org/resource/Covent_Garden","",436797,437450,492418,17,0,0,0,-511836,-1
autobiographyimg01dela,1443535396655,"","http://dbpedia.org/resource/Mary_Delany",582929,583764,1133206,0,44,0,0,-1,-1609241
thirtyyearsofmus00klei,1438426775375,"","http://dbpedia.org/resource/Jean_de_Reszke",281217,282792,578001,0,93,0,0,-1,-868981
diaryofwilliampl01jaco,1447579550858,"http://dbpedia.org/resource/Clinton,_South_Carolina","",411408,411540,1148331,0,0,0,0,-1,-1
recentmusicmusic00mosc,1431687599525,"http://dbpedia.org/resource/Austria","",705104,705246,968055,46,0,0,0,-1209067,-1
reminiscencesofm02kellrich,1435863114996,"http://dbpedia.org/resource/London","",60687,60986,520572,70,0,0,0,-979666,-1
cu31924022334563,1438613865632,"http://dbpedia.org/resource/Her_Majesty's_Theatre","",142943,144270,827587,36,0,0,0,-1504076,-1
reminiscencesofm02kellrich,1438708055915,"http://dbpedia.org/resource/Dublin","",422648,423706,520572,50,0,3,0,0,-1
westminsterpilgr00briduoft,1432792603693,"http://dbpedia.org/resource/London","",134919,135645,663181,63,0,2,0,0,-1
reminiscencesofm01kellrich,1427373691557,"http://dbpedia.org/resource/Naples","",54475,55339,501477,113,0,0,0,-770322,-1
westminsterpilgr00briduoft,1432978478641,"http://dbpedia.org/resource/Westminster_Abbey","",361921,364424,663181,154,0,1,0,0,-1
reminiscencesofm02kellrich,1438688689316,"http://dbpedia.org/resource/Drury_Lane","",397692,398376,520572,21,0,0,0,-537778,-1
memoriesofmusici00ganzuoft,1436281897258,"","http://dbpedia.org/resource/Richard_Wagner",250313,251926,492418,0,101,0,5,-1,0
musicallettersf00unkngoog,1448923016815,"","",381625,382383,571646,0,0,0,0,-1,-1
dublindiary00joyc,1447879808855,"","",77736,78286,257015,0,0,0,0,-1,-1
reminiscencesofm02kellrich,1437330221492,"http://dbpedia.org/resource/Covent_Garden","",332568,334985,520572,14,0,0,0,-688508,-1
musicallettersf00unkngoog,1448919849796,"","",347699,347999,571646,0,0,0,0,-1,-1
lettersofcompose00norm,1424696916509,"","http://dbpedia.org/resource/Pyotr_Ilyich_Tchaikovsky",564106,564639,916583,0,42,0,0,-1,-1262846
reminiscencesofm02kellrich,1435771053245,"http://dbpedia.org/resource/York","",23433,25542,520572,19,0,0,0,-832778,-1
cu31924022334563,1438766504799,"","",414666,415447,827587,0,0,0,0,-1,-1
reminiscencesofm02kellrich,1437304627219,"http://dbpedia.org/resource/London","",286832,287511,520572,70,0,0,0,-753141,-1
reminiscencesofm02kellrich,1437248020573,"http://dbpedia.org/resource/London","",269635,269985,520572,70,0,0,0,-770667,-1
autobiographyimg01dela,1443534931294,"","http://dbpedia.org/resource/Mary_Delany",543067,543246,1133206,0,44,0,0,-1,-1649759
musicallettersf00unkngoog,1448039123601,"http://dbpedia.org/resource/England","",19678,19936,571646,29,0,1,0,0,-1
cu31924022334563,1438703676425,"","",346473,348589,827587,0,0,0,0,-1,-1
memoriesofmusici00ganzuoft,1436195369775,"http://dbpedia.org/resource/St_James's","",166223,166804,492418,0,0,0,0,-1,-1
memoriesofmusici00ganzuoft,1436280456835,"http://dbpedia.org/resource/Royal_Albert_Hall","",240521,241415,492418,20,0,1,0,0,-1
cu31924022334563,1438706068692,"","",361561,362652,827587,0,0,0,0,-1,-1
cu31924022334563,1438703994435,"","",348622,349432,827587,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448357159811,"","",231190,232921,571646,0,0,0,0,-1,-1
memoirsofcountbo00boruuoft,1447060703303,"http://dbpedia.org/resource/Ballinasloe","",247257,248248,377699,1,0,0,0,-244476,-1
musicallettersf00unkngoog,1448368573498,"","",278923,279021,571646,0,0,0,0,-1,-1
memoriesofmusici00ganzuoft,1436519123026,"http://dbpedia.org/resource/Covent_Garden","",447131,447678,492418,17,0,0,0,-501608,-1
musicallettersf00unkngoog,1448358806100,"","",240524,240917,571646,0,0,0,0,-1,-1
thirtyyearsofmus00klei,1438590330949,"","",474159,475583,578001,0,0,0,0,-1,-1
memoriesofmusici00ganzuoft,1436459117035,"http://dbpedia.org/resource/London","",438758,439340,492418,97,0,0,0,-544285,-1
cu31924022334563,1438706068692,"","",361561,362652,827587,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448366833867,"http://dbpedia.org/resource/Aachen","",275966,276700,571646,2,0,1,0,0,-1
reminiscencesofm02kellrich,1438707390329,"","",418837,419957,520572,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448369133400,"","",279084,280004,571646,0,0,0,0,-1,-1
thirtyyearsofmus00klei,1438247568627,"http://dbpedia.org/resource/The_Crystal_Palace","",116873,117474,578001,9,0,1,0,0,-1
musicallettersf00unkngoog,1448358276684,"","",234999,235997,571646,0,0,0,0,-1,-1
memoirsofcountbo00boruuoft,1447022647165,"http://dbpedia.org/resource/Haymarket,_London","",169224,171681,377699,0,0,0,0,-1,-1
