gut_dictionary.term,gut_dictionary.score
beethoven[n],0.00520647825962529
composer[n],0.0042485491439974285
sonata[n],0.0035952008091164416
vocal[j],0.0035774054116812864
music[n],0.003511391317081806
liszt[n],0.0032964506519323248
chopin[n],0.003222708839106622
piano[n],0.0029619497638032
mozart[n],0.00291226000386352
singer[n],0.002893345222014407
musical[j],0.0027225849542457073
haydn[n],0.0026823709299346014
bach[n],0.0024060272125637173
opera[n],0.002256193909019685
symphony[n],0.002176227702998039
violin[n],0.0021075249851500804
pianoforte[n],0.0020865670135305748
wagner[n],0.0017923125018087596
orchestra[n],0.0017153411781665466
schumann[n],0.0016941910995694968
concerto[n],0.001565973223804964
larynx[n],0.0015596165706516956
counterpoint[n],0.0015276838459386852
pianist[n],0.001492735013334244
melody[n],0.0014285952252561427
octave[n],0.0014280547810077678
tone[n],0.0014147740053875664
composition[n],0.001405357296948377
orchestral[j],0.0013685433742163518
soprano[n],0.0013426678565563116
handel[n],0.0013384851329392132
concert[n],0.001337184331907387
vienna[n],0.0013292110442896842
berlioz[n],0.0013207140745105932
song[n],0.0012808346195977162
allegro[n],0.0012443418434635964
resonance[n],0.0012353643172803943
musician[n],0.0012236061599080598
rhythm[n],0.0012129986784750176
quartet[n],0.0011898159450889922
sidenote[n],0.0011752986224853347
sing[v],0.001174773817300462
pupil[n],0.0011550348326964412
macdowell[n],0.0011534763176985505
singing[n],0.0011367942860500112
mendelssohn[n],0.001112427806800922
teacher[n],0.0011088447173668982
oratorio[n],0.001108148296346913
chord[n],0.0010898627680192706
violinist[n],0.0010575661631904766
schubert[n],0.0010357277814001466
vowel[n],0.001030591955230061
chorus[n],0.0010081683020238383
bass[n],0.0010051653544431616
conductor[n],0.0009950814112718984
instrument[n],0.0009897238554653724
fugue[n],0.0009811350245235277
voice[n],0.0009798474896183355
melodic[j],0.000961110750781452
pianolist[n],0.0009576666368865488
nuhguhmoowin[n],0.0009524333534709724
firmus[f],0.0009429664731288593
brahms[n],0.0009393759954398649
tempo[n],0.0009288987909425272
aria[n],0.0008867758384648473
footnote[n],0.0008618884700640336
organ[n],0.0008250562007332172
theme[n],0.0008054752524337505
solo[n],0.0008016838821661109
illustration[n],0.0007939680515553857
artist[n],0.000782345871898004
cantus[f],0.0007802403672350723
notation[n],0.00077892158858749
work[n],0.0007787294288720369
technic[n],0.0007745631008251123
herr[n],0.0007677783892169877
harmonic[j],0.0007567635097303581
choir[n],0.0007543989019697389
tenor[n],0.0007444019687079965
alto[n],0.000734117544803599
pedal[n],0.0007225923557050993
playing[n],0.0007115832755788464
major[j],0.0007102312035594482
performer[n],0.000702695493936838
harpsichord[n],0.0007020317045413144
minor[j],0.0006991512299737236
register[n],0.0006963292548914903
cadence[n],0.000689159705680416
scherzo[n],0.0006862899970477975
semitone[n],0.0006853855192405582
player[n],0.0006696950020708304
organist[n],0.0006675130821437228
virtuoso[j],0.0006523433558860002
firmus[n],0.000645625935391082
vibration[n],0.000645098370567812
play[v],0.0006422901921529213
tune[n],0.0006417955441743386
gluck[n],0.0006405332911404352
student[n],0.0006389653133286069
exercise[n],0.0006238235669893528
franz[n],0.000621509818587393
recitative[n],0.0006190807001049277
harmony[n],0.0006130852425026897
tonal[j],0.0006103717079143324
adagio[n],0.0006085449390203434
string[n],0.0006027111034720946
instrumental[j],0.0006019794306972032
operatic[j],0.0005945199381707211
will[m],0.0005841784164982793
gregorian[n],0.0005830838320575909
symphonic[j],0.0005819014613108901
antiphoner[n],0.0005816344740743717
pitch[n],0.0005809743115939643
weymar[n],0.0005772937784815145
artistic[j],0.0005757953587409911
weber[n],0.0005739117887031212
project[n],0.0005714611881305366
species[n],0.0005682766034874179
cantata[n],0.0005675529366381163
nasal[j],0.0005627189583229625
clavier[n],0.0005581326889417141
tone-production[n],0.0005571159295739348
movement[n],0.0005471557069330786
firmi[n],0.0005451077818897443
clarinet[n],0.0005435474052959735
scale[n],0.0005429585025784578
cavity[n],0.0005399321444124868
flute[n],0.0005371007955347395
andante[n],0.0005364152683551193
beat[n],0.0005320820446765289
technical[j],0.0005320099911201079
weimar[n],0.0005279574191006214
shanty[n],0.0005275379912197021
voicebox[n],0.0005260938594831527
italian[j],0.0005254168347056592
rhythmic[j],0.0005243714664632434
schindler[n],0.0005187632040137564
paganini[n],0.0005149589724472571
salzburg[n],0.0005102537880082744
cantus[n],0.0005057296815878636
jaques-dalcroze[n],0.0005017972049288658
eight-measure[j],0.0005017397012774236
rubinstein[n],0.0005009502675442681
technique[n],0.0005004789823887924
voice-production[n],0.000497270427802952
lesson[n],0.0004909096169452066
keyboard[n],0.00048577774602859384
muscle[n],0.0004826416806101927
ligament[n],0.00048116026646015245
contralto[n],0.00048092806938943564
palestrina[n],0.000480802827951129
carl[n],0.0004799461675364875
behnke[n],0.00047798369517122177
clavichord[n],0.00047703822511276653
palate[n],0.0004736546364867965
coda[n],0.0004704668046359303
rehearsal[n],0.00046994434853664364
mannheim[n],0.00046935176590857074
study[n],0.00046602517312074567
paris[n],0.00046497918181297225
