n,score
604,0.0047
161,0.0036
3649,0.0033
452,0.0032
498,0.0031
344,0.0029
893,0.0027
140,0.0026
978,0.0025
342,0.0024
424,0.0021
283,0.0019
408,0.0018
1531,0.0017
445,0.0016
1063,0.0015
232,0.0014
1215,0.0013
13,0.0012
1839,0.0011
1965,0.001
3790,0.0009
5617,0.0008
1948,0.0007
3894,0.0006
5569,0.0005
12780,0.0004
16164,0.0003
54938,0.0002
321391,0.0001
227688,0.0
278043,NULL
