gut_dictionary.term,gut_dictionary.score
tempo[NN],0.0008254320282625982
composition[NN],0.0008087267053485378
concert[NNS],0.0008065447641133171
song[NN],0.0007887967755924947
bass[NN],0.00078627892376877
Voice[NNP],0.0007842804685068542
melody[NNS],0.0007816083333917895
cantus[FW],0.0007802403672350723
instrument[NN],0.000777264091242372
musician[NNS],0.0007749079545935133
Sonata[NNP],0.0007694668319543046
voice[NN],0.0007643218937662687
violinist[NN],0.0007615518804119752
harmonic[JJ],0.0007567635097303581
illustration[NN],0.0007545082438385574
sing[VBN],0.0007525242010662889
Nuhguhmoowin[NNP],0.0007519210685297149
oratorio[NN],0.0007495534790576716
notation[NN],0.0007382887195892153
register[NN],0.0007378783759977675
major[JJ],0.0007102312035594482
pupil[NNS],0.0007084560364928171
vowel[NN],0.000707754916665828
symphony[NNS],0.0007054553120309422
FIRMI[NNP],0.0007007647291664968
CANTI[NNP],0.0007007647291664968
minor[JJ],0.0006991512299737236
chord[NN],0.0006982035230693239
playing[NN],0.0006937402694077033
octave[NNS],0.0006912343327333215
chord[NNS],0.0006905724171375438
Herr[NNP],0.0006868575224611028
aria[NN],0.0006770586871344563
fugue[NN],0.0006655704231835027
theme[NN],0.0006590153164967365
string[NNS],0.0006538754536157067
register[VBZ],0.0006530432222113545
virtuoso[JJ],0.0006523433558860002
instrument[NNS],0.0006494960221910318
Gluck[NNP],0.0006427958943261029
solo[NN],0.0006394338626000533
organ[NN],0.0006357563521520301
Soprano[NNP],0.0006221199479274661
SONG[NNP],0.0006174801965544811
firmus[NN],0.0006114724967692376
tonal[JJ],0.0006103717079143324
pedal[NN],0.0006088779104939651
Franz[NNP],0.0006072469317454565
harpsichord[NN],0.0006036424702796027
violin[NNS],0.0006034241767508288
artist[NN],0.0006031209909569991
instrumental[JJ],0.0006019794306972032
operatic[JJ],0.0005945199381707211
will[MD],0.0005841784164982793
organist[NN],0.0005831117450192731
symphonic[JJ],0.0005819014613108901
Weymar[NNP],0.0005772937784815145
artistic[JJ],0.0005757953587409911
tenor[NN],0.0005706212382223484
Weber[NNP],0.0005705822810919014
Antiphoner[NNP],0.0005666645513061821
nasal[JJ],0.0005627189583229625
technic[NN],0.0005610676048575719
teacher[NNS],0.0005574428234028393
choir[NN],0.0005570430865574789
tone-production[NN],0.0005455850229930811
pianist[NNS],0.0005448753001421178
technical[JJ],0.0005320099911201079
tune[NN],0.0005299875708715804
Weimar[NNP],0.0005277414153540248
italian[JJ],0.0005254168347056592
pitch[NN],0.0005250032578722312
rhythmic[JJ],0.0005243714664632434
student[NN],0.0005232619814208308
performance[NN],0.0005206394576053999
ligament[NNS],0.0005204402474061002
muscle[NNS],0.0005182047480415001
Gregorian[NNP],0.0005165904453685958
voice[NNS],0.0005151123207678002
Salzburg[NNP],0.0005109419971952438
beat[NNS],0.0005063195949010985
cavity[NNS],0.0005039129504122926
eight-measure[JJ],0.0005017397012774236
note[NNS],0.0005010236820736949
work[NN],0.0005001780363069222
scale[NN],0.0004993688958806345
performer[NNS],0.000497570724198015
concerto[NNS],0.0004944092633442835
Paganini[NNP],0.0004936642637654767
palate[NN],0.0004931107070775295
technique[NN],0.0004913307415310181
player[NN],0.0004891055039525044
voice-production[NN],0.0004874755333771296
Opera[NNP],0.0004802874782112789
vibration[NNS],0.0004796931643815281
Palestrina[NNP],0.0004763055782234323
harmony[NN],0.0004743328683514271
vowel[NNS],0.00047408906230660597
alto[NN],0.0004711535983656655
organ[NNS],0.0004709753533059907
Carl[NNP],0.00046955931586709386
Mannheim[NNP],0.0004676041977023992
Paris[NNP],0.00046612287259420584
cantus[NN],0.0004626764176772859
Species[NNP],0.00045937529173696834
violinist[NNS],0.0004552262682384291
legato[NN],0.0004542492079885354
allegro[NN],0.00045148302892294593
Adagio[NNP],0.00044995497297306786
Concerto[NNP],0.0004496205840056646
artist[NNS],0.0004462184761847616
recitative[NN],0.00044611502018916574
quartet[NNS],0.0004451303256273255
Verdi[NNP],0.00044357538692249224
dramatic[JJ],0.00044355242005025125
laryngoscope[NN],0.000438448633498821
cadence[NN],0.00043844662553734094
Leipzig[NNP],0.0004352349149525697
keyboard[NN],0.0004350830104841527
diaphragm[NN],0.0004343795583766875
voicebox[NN],0.0004283907141505671
clavichord[NN],0.00042718931391298547
Clementi[NNP],0.00042656841851457564
movement[NN],0.0004253838585297704
Singer[NNP],0.0004253028293857316
Meyerbeer[NNP],0.0004245855199854999
Conservatoire[NNP],0.00042344529297957034
technic[JJ],0.000421947820572952
chog[NN],0.00041808005347390004
Rossini[NNP],0.00041805815026127967
Schindler[NNP],0.00041781832367998383
DOMINIE[NNP],0.00041435883891070667
clavier[NN],0.0004131577112569965
cadence[NNS],0.0004126071819508218
Illustration[NNP],0.0004122104021957545
play[VB],0.00040718119837678207
training[NN],0.00040638397663354456
Violin[NNP],0.00040583240661997506
project[NN],0.0004040878296914156
gutenberg-tm[NN],0.0004033624960781945
species[NNS],0.00040085718823635545
accompaniment[NN],0.00040039019194926934
shanty[NNS],0.0004003455527328845
glottis[NN],0.0003965438824090601
bass[NNS],0.0003962515489690606
Behnke[NNP],0.00039563779839068023
development[NN],0.00039544914933888195
tuning[NN],0.00039473275479568696
rhythm[NNS],0.00039354894095854114
german[JJ],0.00039308369621903735
Czerny[NNP],0.0003928479197713019
Mass[NNP],0.0003928135215093071
alto[NNS],0.00039234818312198924
Debussy[NNP],0.0003876676376781605
genius[NN],0.0003864464957624246
MUSIC[NNP],0.00038451107338541166
breathing[NN],0.00038446055728432176
teaching[NN],0.00038370103321373733
Madame[NNP],0.000383669686953791
viii[NN],0.000383546033080001
time[NN],0.0003830466680847897
lesson[NNS],0.00038287267617391566
flute[NN],0.000381539344906553
Paderewski[NNP],0.00038092244869577976
cord[NNS],0.0003796681083324928
choral[JJ],0.00037956091110679036
chorus[NNS],0.00037933781316969476
Scarlatti[NNP],0.00037891331464674094
Finale[NNP],0.0003788777639960849
clarinet[NN],0.00037831138906187033
Ranzo[NNP],0.00037827626821792317
performer[NN],0.0003772784378410273
style[NN],0.0003763949057895936
Andante[NNP],0.00037607621922190634
modern[JJ],0.0003754672063620138
player[NNS],0.0003732465295470429
d'Indy[NNP],0.00037146221196620005
overture[NN],0.0003714523916846325
Strauss[NNP],0.00037102275296505016
Johann[NNP],0.0003707440496857874
Conservatory[NNP],0.00036758565290191154
study[NN],0.0003649346591976018
must[MD],0.0003647204828193988
baritone[NN],0.0003638175535106585
piano[NNS],0.00036294754002908804
gwud[NN],0.00036256425835226716
Grieg[NNP],0.00036194859371464067
Berlin[NNP],0.0003619076880981577
Newman[NNP],0.0003615690450513396
rôles[NNS],0.00035983587181087325
semitone[NN],0.0003589192290379417
consonant[NNS],0.0003576933251791753
Gounod[NNP],0.000356660677298883
first[JJ],0.000356093242525444
cantata[NN],0.00035526424393167466
scherzo[NN],0.0003550643796460444
fifth[NNS],0.00035410329825214264
Kuhnau[NNP],0.00035349297030184496
dich[NN],0.0003531170291625191
Munich[NNP],0.00035248189998275854
quality[NN],0.00035212687551081936
Hallelujah[NNP],0.0003493704645048434
