experiment,relevant,retrieved,positives,precision,recall,fmeasure
run-heat-only,1098,57498,135,0.0023479077533131586,0.12295081967213115,0.002303911529797255
run-forest-only,1098,3543,145,0.04092576912221282,0.1320582877959927,0.031243266537384184
test-forest-glover,1098,34,5,0.14705882352941177,0.004553734061930784,0.00441696113074205
