GLOVER.txt-1,0,1089,1089,4,Y,Y,1.0,0,1089,HeatEvaluator=0.5541105691777465
GLOVER.txt-2,0,912,912,2,N,N,-,-1,-1,HeatEvaluator=0.5012633951805172
GLOVER.txt-3,0,1923,1923,9,N,Y,1.0,0,1923,HeatEvaluator=0.3806915920889656
GLOVER.txt-4,0,1530,1530,15,N,N,-,-1,-1,HeatEvaluator=0.22821109547387594
GLOVER.txt-5,0,1263,1263,8,Y,Y,1.0,0,1263,HeatEvaluator=0.9354687672123637
GLOVER.txt-6,0,721,721,6,N,N,-,-1,-1,HeatEvaluator=0.25829523785576924
GLOVER.txt-7,0,767,767,5,Y,Y,1.0,0,767,HeatEvaluator=0.711467803600923
GLOVER.txt-8,0,949,949,3,N,N,-,-1,-1,HeatEvaluator=0.08550117551633334
GRONOW.txt-9,0,1099,1099,4,N,Y,1.0,0,1099,HeatEvaluator=0.33367259816457834
GRONOW.txt-10,0,832,832,5,N,N,-,-1,-1,HeatEvaluator=0.20761776946907692
GRONOW.txt-11,0,899,899,4,Y,Y,1.0,0,899,HeatEvaluator=0.9167139108652113
GRONOW.txt-12,0,906,906,4,N,N,-,-1,-1,HeatEvaluator=0.0
GRONOW.txt-13,0,1025,1025,6,Y,Y,1.0,0,1025,HeatEvaluator=0.6606412057159259
GRONOW.txt-14,0,1128,1128,9,N,N,-,-1,-1,HeatEvaluator=0.0
MASONB.txt-15,0,83,83,1,Y,Y,1.0,0,83,HeatEvaluator=1.7506145331333334
MASONB.txt-16,0,122,122,1,N,N,-,-1,-1,HeatEvaluator=0.0
MASONB.txt-17,0,225,225,2,N,Y,1.0,0,225,HeatEvaluator=0.24394291809
MASONB.txt-18,0,245,245,2,N,N,-,-1,-1,HeatEvaluator=0.0
MASONB.txt-19,0,148,148,1,N,Y,1.0,0,148,HeatEvaluator=0.3733196176563636
MASONB.txt-20,0,218,218,1,N,N,-,-1,-1,HeatEvaluator=0.0
MASONB.txt-21,0,125,125,1,Y,Y,1.0,0,125,HeatEvaluator=1.55643306057125
MASONB.txt-22,0,192,192,1,N,N,-,-1,-1,HeatEvaluator=0.20676906084625
MASONB.txt-23,0,434,434,4,Y,Y,1.0,0,434,HeatEvaluator=1.200258262968788
