GLOVER.txt-1,0,1089,1089,4,Y,Y,1.0,0,1089,HeatEntityEvaluator=0.9467739507597184
GLOVER.txt-2,0,912,912,2,N,N,-,-1,-1,HeatEntityEvaluator=0.3786914985377586
GLOVER.txt-3,0,1923,1923,9,Y,Y,1.0,0,1923,HeatEntityEvaluator=0.5948993124679313
GLOVER.txt-4,0,1530,1530,15,N,N,-,-1,-1,HeatEntityEvaluator=0.2616458266986822
GLOVER.txt-5,0,1263,1263,8,Y,Y,1.0,0,1263,HeatEntityEvaluator=1.3866668801680002
GLOVER.txt-6,0,721,721,6,N,N,-,-1,-1,HeatEntityEvaluator=0.29710491414769236
GLOVER.txt-7,0,767,767,5,Y,Y,1.0,0,767,HeatEntityEvaluator=0.8392178303733846
GLOVER.txt-8,0,949,949,3,N,N,-,-1,-1,HeatEntityEvaluator=0.10404539531899998
GRONOW.txt-9,0,1099,1099,4,Y,Y,1.0,0,1099,HeatEntityEvaluator=0.5099297907514458
GRONOW.txt-10,0,832,832,5,N,N,-,-1,-1,HeatEntityEvaluator=0.20761776946907692
GRONOW.txt-11,0,899,899,4,Y,Y,1.0,0,899,HeatEntityEvaluator=1.2135287304994369
GRONOW.txt-12,0,906,906,4,N,N,-,-1,-1,HeatEntityEvaluator=0.04431246912328767
GRONOW.txt-13,0,1025,1025,6,Y,Y,1.0,0,1025,HeatEntityEvaluator=0.5385466169179014
GRONOW.txt-14,0,1128,1128,9,N,N,-,-1,-1,HeatEntityEvaluator=0.013311976320987655
MASONB.txt-15,0,83,83,1,Y,Y,1.0,0,83,HeatEntityEvaluator=1.7506145331333334
MASONB.txt-16,0,122,122,1,N,N,-,-1,-1,HeatEntityEvaluator=0.0
MASONB.txt-17,0,225,225,2,N,Y,1.0,0,225,HeatEntityEvaluator=0.24394291809
MASONB.txt-18,0,245,245,2,N,N,-,-1,-1,HeatEntityEvaluator=0.04688130791304348
MASONB.txt-19,0,148,148,1,N,Y,1.0,0,148,HeatEntityEvaluator=0.3733196176563636
MASONB.txt-20,0,218,218,1,N,N,-,-1,-1,HeatEntityEvaluator=0.0
MASONB.txt-21,0,125,125,1,Y,Y,1.0,0,125,HeatEntityEvaluator=0.7104487123025
MASONB.txt-22,0,192,192,1,N,N,-,-1,-1,HeatEntityEvaluator=0.0
MASONB.txt-23,0,434,434,4,Y,Y,1.0,0,434,HeatEntityEvaluator=1.584032294579697
MASONB.txt-24,0,290,290,1,Y,N,-,-1,-1,HeatEntityEvaluator=1.332124397546818
MASONB.txt-25,0,1171,1171,9,Y,Y,1.0,0,1171,HeatEntityEvaluator=1.9103069977661702
MASONB.txt-26,0,1016,1016,8,N,N,-,-1,-1,HeatEntityEvaluator=0.1236267608555263
MASONB.txt-27,0,88,88,1,Y,Y,1.0,0,88,HeatEntityEvaluator=0.5575838127771429
MASONB.txt-28,0,164,164,2,Y,N,-,-1,-1,HeatEntityEvaluator=1.2103573601127273
MASONB.txt-29,0,710,710,4,Y,Y,1.0,0,710,HeatEntityEvaluator=2.6614497940855357
MASONB.txt-30,0,499,499,5,Y,N,-,-1,-1,HeatEntityEvaluator=1.4214152556827027
MASONB.txt-31,0,133,133,1,Y,Y,1.0,0,133,HeatEntityEvaluator=0.5704702326411112
MASONB.txt-32,0,205,205,3,N,N,-,-1,-1,HeatEntityEvaluator=0.0
MASONB.txt-33,0,622,622,5,Y,Y,1.0,0,622,HeatEntityEvaluator=2.312017754943077
MASONB.txt-34,0,530,530,4,N,N,-,-1,-1,HeatEntityEvaluator=0.13444498756575
MASONB.txt-35,0,744,744,6,Y,Y,1.0,0,744,HeatEntityEvaluator=1.3865536317733897
MASONB.txt-36,0,489,489,2,Y,N,-,-1,-1,HeatEntityEvaluator=1.1868602762777143
MASONB.txt-37,0,197,197,2,Y,Y,1.0,0,197,HeatEntityEvaluator=1.1263711935253333
MASONB.txt-38,0,380,380,2,N,N,-,-1,-1,HeatEntityEvaluator=0.0
MASONB.txt-39,0,450,450,3,Y,Y,1.0,0,450,HeatEntityEvaluator=1.1319111703242104
MASONB.txt-40,0,454,454,2,Y,N,-,-1,-1,HeatEntityEvaluator=1.245250734273158
MASONB.txt-41,0,775,775,5,Y,Y,1.0,0,775,HeatEntityEvaluator=1.240049387391833
MASONB.txt-42,0,775,775,7,N,N,-,-1,-1,HeatEntityEvaluator=0.08928485729368421
MASONB.txt-43,0,627,627,2,Y,Y,1.0,0,627,HeatEntityEvaluator=0.7002146432795455
MASONB.txt-44,0,504,504,3,N,N,-,-1,-1,HeatEntityEvaluator=0.09757716723599999
MASONB.txt-45,0,1039,1039,7,Y,Y,1.0,0,1039,HeatEntityEvaluator=2.36081142134974
MASONB.txt-46,0,808,808,9,N,N,-,-1,-1,HeatEntityEvaluator=0.1249148971852381
MASONB.txt-47,0,175,175,1,Y,Y,1.0,0,175,HeatEntityEvaluator=2.179359906296
MASONB.txt-48,0,459,459,2,Y,N,-,-1,-1,HeatEntityEvaluator=1.245250734273158
MASONB.txt-49,0,173,173,2,Y,Y,1.0,0,173,HeatEntityEvaluator=1.2243237611400002
MASONB.txt-50,0,202,202,2,Y,N,-,-1,-1,HeatEntityEvaluator=0.7831724094847059
MASONB.txt-51,0,264,264,2,Y,Y,1.0,0,264,HeatEntityEvaluator=0.9446583545844445
MASONB.txt-52,0,304,304,4,N,N,-,-1,-1,HeatEntityEvaluator=0.48670483862384617
MASONB.txt-53,0,514,514,4,Y,Y,1.0,0,514,HeatEntityEvaluator=1.1789570767833335
MASONB.txt-54,0,272,272,2,Y,N,-,-1,-1,HeatEntityEvaluator=0.6468048239066666
MASONB.txt-55,0,328,328,1,Y,Y,1.0,0,328,HeatEntityEvaluator=1.5734175117570832
