experiment,population,relevant,retrieved,positives,precision,recall,fmeasure,accuracy,error
statistical-tfidf-gs,1000,500,657,474,0.7214611872146118,0.948,0.8193604148660328,0.791,0.20899999999999996
random-forest-gs,1000,500,189,176,0.9312169312169312,0.352,0.5108853410740203,0.663,0.33699999999999997
embeddings-gs,1000,500,559,457,0.817531305903399,0.914,0.8630783758262512,0.855,0.14500000000000002
entities-music-gs,1000,500,808,462,0.5717821782178217,0.924,0.7064220183486238,0.616,0.384
embeddings-filtered-gs,1000,500,482,424,0.8796680497925311,0.848,0.8635437881873728,0.866,0.134
hybrid-unfiltered-gs,1000,500,609,472,0.7750410509031199,0.944,0.8512173128944995,0.835,0.16500000000000004
hybrid-gs,1000,500,551,460,0.8348457350272233,0.92,0.8753568030447193,0.869,0.131
