http://dbpedia.org/resource/Disease,1
http://dbpedia.org/resource/Port,2
http://dbpedia.org/resource/God,1
http://dbpedia.org/resource/Monarch,1
http://dbpedia.org/resource/Falling_(accident),1
http://dbpedia.org/resource/Death_in_June,1
http://dbpedia.org/resource/Windsor,_Ontario,1
http://dbpedia.org/resource/Disability,1
http://dbpedia.org/resource/Wish,1
http://dbpedia.org/resource/Equal_opportunity,1
http://dbpedia.org/resource/Music,2
http://dbpedia.org/resource/Abbey,1
http://dbpedia.org/resource/Performance,1
http://dbpedia.org/resource/Town,1
http://dbpedia.org/resource/Measles,1
http://dbpedia.org/resource/Kickoff_(gridiron_football),1
http://dbpedia.org/resource/Disease,1
http://dbpedia.org/resource/Port,2
http://dbpedia.org/resource/God,1
http://dbpedia.org/resource/Monarch,1
http://dbpedia.org/resource/Falling_(accident),1
http://dbpedia.org/resource/Death_in_June,1
http://dbpedia.org/resource/Windsor,_Ontario,1
http://dbpedia.org/resource/Disability,1
http://dbpedia.org/resource/Wish,1
http://dbpedia.org/resource/Equal_opportunity,1
http://dbpedia.org/resource/Music,2
http://dbpedia.org/resource/Abbey,1
http://dbpedia.org/resource/Performance,1
http://dbpedia.org/resource/Town,1
http://dbpedia.org/resource/Measles,1
http://dbpedia.org/resource/Kickoff_(gridiron_football),1
